COMM       PID  SYSCALL_ID ARGS[0]              ARGS[1]              ARGS[2]              ARGS[3]              ARGS[4]              ARGS[5]             
b'df'      1187966 5          b''                  b''                  b''                  b''                  b''                  b'/etc/ld.so.cache' 
b'df'      1187966 9          b''                  b''                  b''                  b''                  b''                  b''                 
b'df'      1187966 3          b''                  b''                  b''                  b''                  b''                  b''                 
b'df'      1187966 257        b''                  b'/lib/x86_64-linux-gnu/libc.so.6' b''                  b''                  b''                  b'/lib/x86_64-linux-gnu/libc.so.6'
b'df'      1187966 0          b''                  b''                  b''                  b''                  b''                  b'/lib/x86_64-linux-gnu/libc.so.6'
b'df'      1187966 17         b''                  b''                  b''                  b''                  b''                  b'/lib/x86_64-linux-gnu/libc.so.6'
b'df'      1187966 17         b''                  b''                  b''                  b''                  b'\x06'              b''                 
b'df'      1187966 17         b''                  b''                  b''                  b''                  b'\x06'              b''                 
b'df'      1187966 5          b''                  b'\xd4^'             b'\xd4^'             b''                  b''                  b''                 
b'df'      1187966 9          b''                  b''                  b''                  b''                  b''                  b''                 
b'df'      1187966 17         b''                  b''                  b''                  b''                  b''                  b''                 
b'df'      1187966 17         b''                  b''                  b''                  b''                  b''                  b''                 
b'df'      1187966 17         b''                  b''                  b''                  b''                  b''                  b''                 
b'df'      1187966 9          b''                  b''                  b''                  b''                  b''                  b''                 
b'df'      1187966 9          b''                  b''                  b''                  b''                  b''                  b''                 
b'df'      1187966 9          b''                  b''                  b''                  b''                  b''                  b''                 
b'df'      1187966 9          b''                  b''                  b''                  b''                  b''                  b''                 
b'df'      1187966 9          b''                  b''                  b''                  b''                  b''                  b''                 
b'df'      1187966 3          b''                  b''                  b''                  b''                  b''                  b''                 
b'df'      1187966 158        b''                  b'\x80%i\x10:\x7f'   b''                  b''                  b''                  b''                 
b'df'      1187966 10         b'_\x04'             b''                  b''                  b'(\xa9\xaav\xfd\x7f' b'\xf3\x0f\x1e\xfaH\xc1\xe2\x02f\x0fn\xc6H\x89\xf8f\x0fp\xc0' b'4\x01'            
b'df'      1187966 10         b'$'                 b''                  b''                  b'\xf0\xff\xffo'     b''                  b'\xe1M'            
b'df'      1187966 10         b''                  b''                  b''                  b'\xf0\xff\xffo'     b''                  b'\xa52'            
b'df'      1187966 11         b'glibc-ld.so.cache1.1^\x05' b''                  b''                  b'\xf0\xff\xffo'     b''                  b'\xa52'            
b'df'      1187966 12         b''                  b''                  b''                  b'\xe0\xbbh\x10:\x7f' b'\xe0\xbbh\x10:\x7f' b''                 
b'df'      1187966 12         b''                  b''                  b''                  b'\xe0\xbbh\x10:\x7f' b'\xe0\xbbh\x10:\x7f' b''                 
b'df'      1187966 257        b''                  b'/usr/lib/locale/locale-archive' b''                  b''                  b''                  b'/usr/lib/locale/locale-archive'
b'df'      1187966 5          b''                  b''                  b''                  b''                  b''                  b'/usr/lib/locale/locale-archive'
b'df'      1187966 9          b''                  b''                  b''                  b''                  b''                  b''                 
b'df'      1187966 3          b''                  b''                  b''                  b''                  b''                  b''                 
b'df'      1187966 257        b''                  b'/usr/share/locale/locale.alias' b''                  b''                  b''                  b'/usr/share/locale/locale.alias'
b'df'      1187966 5          b''                  b''                  b''                  b''                  b''                  b''                 
b'df'      1187966 0          b''                  b''                  b''                  b''                  b''                  b''                 
b'df'      1187966 0          b''                  b'# Locale name alias data base.\n# Copyright (C) 199' b''                  b''                  b''                  b''                 
b'df'      1187966 3          b''                  b''                  b''                  b''                  b''                  b''                 
b'df'      1187966 257        b''                  b'/usr/share/locale/en_US.UTF-8/LC_MESSAGES/coreutil' b''                  b''                  b''                  b'/usr/share/locale/en_US.UTF-8/LC_MESSAGES/coreutil'
b'df'      1187966 257        b''                  b'/usr/share/locale/en_US.utf8/LC_MESSAGES/coreutils' b''                  b''                  b''                  b'/usr/share/locale/en_US.utf8/LC_MESSAGES/coreutils'
b'df'      1187966 257        b''                  b'/usr/share/locale/en_US/LC_MESSAGES/coreutils.mo' b''                  b''                  b''                  b'/usr/share/locale/en_US/LC_MESSAGES/coreutils.mo'
b'df'      1187966 257        b''                  b'/usr/share/locale/en.UTF-8/LC_MESSAGES/coreutils.m' b''                  b''                  b''                  b'/usr/share/locale/en.UTF-8/LC_MESSAGES/coreutils.m'
b'df'      1187966 257        b''                  b'/usr/share/locale/en.utf8/LC_MESSAGES/coreutils.mo' b''                  b''                  b''                  b'/usr/share/locale/en.utf8/LC_MESSAGES/coreutils.mo'
b'df'      1187966 257        b''                  b'/usr/share/locale/en/LC_MESSAGES/coreutils.mo' b''                  b''                  b''                  b'/usr/share/locale/en/LC_MESSAGES/coreutils.mo'
b'df'      1187966 257        b''                  b'/usr/share/locale-langpack/en_US.UTF-8/LC_MESSAGES' b''                  b''                  b''                  b'/usr/share/locale-langpack/en_US.UTF-8/LC_MESSAGES'
b'df'      1187966 257        b''                  b'/usr/share/locale-langpack/en_US.utf8/LC_MESSAGES/' b''                  b''                  b''                  b'/usr/share/locale-langpack/en_US.utf8/LC_MESSAGES/'
b'df'      1187966 257        b''                  b'/usr/share/locale-langpack/en_US/LC_MESSAGES/coreu' b''                  b''                  b''                  b'/usr/share/locale-langpack/en_US/LC_MESSAGES/coreu'
b'df'      1187966 257        b''                  b'/usr/share/locale-langpack/en.UTF-8/LC_MESSAGES/co' b''                  b''                  b''                  b'/usr/share/locale-langpack/en.UTF-8/LC_MESSAGES/co'
b'df'      1187966 257        b''                  b'/usr/share/locale-langpack/en.utf8/LC_MESSAGES/cor' b''                  b''                  b''                  b'/usr/share/locale-langpack/en.utf8/LC_MESSAGES/cor'
b'df'      1187966 257        b''                  b'/usr/share/locale-langpack/en/LC_MESSAGES/coreutil' b''                  b''                  b''                  b'/usr/share/locale-langpack/en/LC_MESSAGES/coreutil'
b'df'      1187966 5          b''                  b'v\xa5\xaav\xfd\x7f' b'v\xa5\xaav\xfd\x7f' b''                  b''                  b'/usr/share/locale-langpack/en/LC_MESSAGES/coreutil'
b'df'      1187966 9          b''                  b''                  b''                  b''                  b''                  b''                 
b'df'      1187966 3          b''                  b''                  b''                  b''                  b''                  b''                 
